latitude,longitude,brightness,frp,type
31.5481,-96.8057,328,28.7,0
32.0903,-96.049,358.4,102.4,0
32.0889,-96.0613,365.9,129.5,0
32.0985,-96.063,320.6,23.5,0
32.3913,-96.3925,300.7,5,0
30.815,-91.6039,300.6,15.9,0
32.4551,-97.04,301.8,4.6,2
32.7539,-95.3173,300.4,8.2,0
33.4468,-95.9194,311,16,0
30.9602,-93.0042,320.6,42.8,0
30.9601,-92.9934,329.1,63.9,0
30.962,-92.9865,322.6,47.5,0
37.4825,-95.5596,307.9,18.5,0
34.3375,-96.2116,323.4,30.4,0
36.7054,-96.9954,302,9,2
39.1729,-95.3671,303.7,18.5,0
41.0632,-99.0677,302.2,9.9,0
43.1313,-97.1306,303.6,13.7,0
43.2286,-97.3809,307.5,16.7,0
41.3593,-100.0182,308.1,12.8,0
19.4014,-155.2793,312.9,46.2,1
33.0134,-79.891,302.2,10.1,2
33.9175,-80.6507,318.1,21.8,0
33.9266,-80.6525,308.3,14.3,0
30.0046,-90.4056,322.7,24.7,2
30.0031,-90.3954,317.6,19.9,2
19.4062,-155.2913,313.4,17.4,1
19.4025,-155.2845,320.1,24.6,1
19.4079,-155.2807,323.9,29.4,1
30.0006,-81.3991,301.3,16.8,0
29.0151,-81.2536,316.7,52.7,0
29.0078,-81.2615,310.7,32.5,0
26.7276,-81.8155,302.4,15.4,0
26.9772,-80.485,312.5,24.9,0
26.563,-80.6282,306.6,12.3,0
26.5651,-80.6487,313.4,26.9,0
26.5662,-80.6414,317.1,33.1,0
33.4111,-93.7313,304,11.6,0
33.4133,-93.7439,303.2,10.9,0
30.5043,-95.3681,306,9.9,0
33.4366,-96.7351,301.5,7.3,0
32.8677,-94.9776,375.2,154.1,0
32.8659,-94.9662,374.1,149.8,0
32.8585,-94.9797,326,29.3,0
33.2074,-102.5683,301.5,7,0
32.1226,-95.5824,301.8,6.8,0
32.0896,-96.0779,354.6,76.6,0
32.0879,-96.0672,327.7,27.8,0
32.0846,-96.0458,309.2,10.6,0
32.0806,-96.0799,305.3,7.7,0
31.8017,-94.869,313.2,16.9,0
31.5422,-93.6584,341.4,70.5,0
31.5526,-94.3156,311.7,16.1,0
31.5429,-94.3178,300.1,6,0
31.0138,-92.2066,301.3,11.8,0
31.014,-92.2129,307,18.8,0
30.9434,-93.5998,326.8,41.4,0
31.4987,-97.1077,301.4,4.2,0
30.722,-93.0091,315.6,27.4,0
31.5618,-99.1884,306,7,0
31.5603,-99.1773,300.9,3.9,0
30.1768,-92.2128,303.7,13,0
30.0899,-92.0621,306.8,18.3,0
30.9579,-97.8853,301.2,4.7,0
30.3739,-96.9363,301.2,5,0
30.2068,-96.2156,302.8,5.8,0
30.101,-96.3099,305.5,7,0
30.6959,-100.6097,300.6,3.9,0
29.7142,-95.133,303.5,4.9,2
30.0818,-97.5699,310.7,10.4,0
30.1987,-98.7702,305.8,6.9,0
29.7851,-96.1274,302.2,4.5,0
30.0864,-98.6255,309.4,9,0
30.0849,-98.6151,306,6.6,0
30.0774,-98.6271,305.9,6.7,0
30.0759,-98.6168,309.3,8.8,0
29.1321,-97.5164,314.5,12.3,0
28.9102,-97.3299,305.4,5.7,0
28.99,-99.2114,304.6,4.8,0
28.9886,-99.201,307.5,6.8,0
28.9132,-99.9992,312,10.2,0
28.9117,-99.9883,320.9,18.9,0
27.4111,-97.7934,311.2,6.1,0
26.8751,-97.9717,311.5,6.9,0
26.8661,-97.9734,311.6,7.1,0
26.4502,-98.153,316,11.5,0
26.4487,-98.143,306.8,4.5,0
26.305,-98.3551,312.9,8.7,0
26.3036,-98.3452,308.5,5.5,0
26.2407,-97.9884,309.2,5.5,0
26.2392,-97.9784,333.4,30.5,0
29.3314,-99.2875,301.1,2.8,0
29.7431,-97.3441,308.4,8.7,0
29.5778,-98.0345,302.2,3.8,2
26.1124,-98.3006,319.6,15.4,0
35.5089,-120.2325,301.3,5,0
